timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1689755834797,1183,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,1183,0,873
1689755834463,1715,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,1715,0,1403
1689755835129,1373,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,1373,0,999
1689755835981,738,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,738,0,0
1689755836503,388,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,388,0,0
1689755836720,284,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,284,0,0
1689755836179,883,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,883,0,0
1689755836891,410,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,410,0,0
1689755837005,296,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,296,0,0
1689755837063,513,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,513,0,0
1689755837301,287,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,287,0,0
1689755837301,287,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,287,0,0
1689755837576,291,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,291,0,0
1689755837588,302,GET All Activities,200,OK,Starter 1-2,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,302,0,0
1689755837588,302,GET All Activities,200,OK,Starter 1-3,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,302,0,0
1689755837868,297,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,297,0,0
1689755837891,288,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,288,0,0
1689755837891,292,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,292,0,0
1689755838166,308,GET All Activities,200,OK,Starter 1-1,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,308,0,0
1689755838180,322,GET All Activities,200,OK,Starter 1-2,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,322,0,0
1689755838184,404,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,404,0,0
1689755838475,287,GET All Activities,200,OK,Starter 1-1,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,287,0,0
1689755838588,302,GET All Activities,200,OK,Starter 1-3,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,302,0,0
1689755838763,289,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,289,0,0
1689755838502,602,GET All Activities,200,OK,Starter 1-2,text,true,,677,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,602,0,0
1689755838891,310,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,310,0,0
1689755839052,873,GET All Activities,200,OK,Starter 1-1,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,873,0,0
1689755839201,777,GET All Activities,200,OK,Starter 1-3,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,777,0,0
1689755839104,940,GET All Activities,200,OK,Starter 1-2,text,true,,680,177,2,2,https://myweebapp0511c.azurewebsites.net/api/Activities/3,940,0,0
1689755839926,304,GET All Activities,200,OK,Starter 1-1,text,true,,679,177,1,1,https://myweebapp0511c.azurewebsites.net/api/Activities/5,304,0,0
1689755933511,1177,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,1177,0,899
1689755934688,271,GET All Activities,200,OK,Starter 1-1,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,271,0,0
1689755933843,1149,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,1149,0,847
1689755934959,289,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,289,0,0
1689755934993,307,GET All Activities,200,OK,Starter 1-2,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,307,0,0
1689755934176,1124,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,1124,0,825
1689755935249,288,GET All Activities,200,OK,Starter 1-1,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,288,0,0
1689755935300,309,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,309,0,0
1689755935300,310,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,310,0,0
1689755935537,274,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,274,0,0
